expression_type	gene	relevance	subject	disease_names	variant	X.rid	evidence	evidenceLevel	source.name	sourceId	createdBy	reviewStatus
increased	ACTL6A	resistance	Cisplatin [c376]	lung adenocarcinoma	overexpression	#155:12994	pmid:33408251	CIViC D4	civic	8977	#29:0	not required
increased	MAGEA4	eligibility	Phase 1 Dose Escalation, Multi-tumor Study to Assess the Safety, Tolerability and Antitumor Activity of Genetically Engineered MAGE-A4ᶜ¹º³²T in HLA-A2+ Subjects With MAGE-A4 Positive Tumors	ovarian cancer	increased protein expression	#155:13010	NA	NA	Null	NA	#30:0	initial
increased	MAGEA4	eligibility	Phase 1 Dose Escalation, Multi-tumor Study to Assess the Safety, Tolerability and Antitumor Activity of Genetically Engineered MAGE-A4ᶜ¹º³²T in HLA-A2+ Subjects With MAGE-A4 Positive Tumors	synovial sarcoma	increased protein expression	#155:13012	NA	NA	Null	NA	#30:0	initial
increased	FGFR3	sensitivity	tyrosine kinase inhibitor su5402 [c1725]	bladder carcinoma	overexpression	#155:13040	pmid:21119661	CIViC D3	civic	803	#29:0	not required
increased	ERBB2	sensitivity	pembrolizumab [DB09037]	adenocarcinoma of the gastroesophageal junction	increased protein expression	#155:13175	NA	IPR-A	Null	NA	#30:0	initial
increased	LYN	no resistance	Dasatinib [c38713]	chronic myeloid leukemia	overexpression	#155:13231	pmid:18191450	CIViC D3	civic	7874	#29:0	not required
increased	SLC29A1	sensitivity	gemcitabine [c66876]	pancreatic adenocarcinoma	overexpression	#155:13354	pmid:22705007	CIViC B4	civic	10145	#29:0	not required
increased	IGF2	sensitivity	mitotane + nvp aew54 [DB00648 + NVP AEW54]	adrenocortical carcinoma	increased RNA expression	#156:741	pmid:18854392	NA	iprkb	3025e817-5360-4425-b18e-21ae3b1cb9e0	#29:0	pending
increased	PGR	sensitivity	exemestane [DB00990]	breast cancer	increased RNA expression	#156:746	pmid:21422407	NA	iprkb	9a431616-8826-475e-a540-2cfc28975446	#29:0	pending
increased	KRAS	resistance	cetuximab [DB00002]	colorectal cancer	increased RNA expression	#156:753	pmid:22722830	NA	iprkb	bbe4a4ae-372d-4c10-b5b4-cd50fe94e1c0	#29:0	pending
increased	KLK13	prognostic indicator	patient	ovary epithelial cancer	increased RNA expression	#156:803	pmid:19707197	NA	iprkb	93b01e7c-7e14-403f-adfa-a47b85cbf4c1	#29:0	pending
reduced	BRCC3	sensitivity	ionizing radiation	NA	reduced RNA expression	#156:825	pmid:14636569	NA	iprkb	2087356e-ce3e-4a1f-afc3-d3f0b3353020	#29:0	pending
increased	GZMA	favourable prognosis	patient	colorectal cancer	increased RNA expression	#156:834	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	PRF1	favourable prognosis	patient	lung squamous cell carcinoma	increased RNA expression	#156:835	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	FOXP3	favourable prognosis	patient	glioblastoma multiforme	increased protein expression	#156:840	pmid:28680758	NA	iprkb	700c2ddd-c017-44cd-9b5b-5b87b7cdf5ee	#29:0	pending
increased	CD8A	favourable prognosis	patient	lung cancer	increased RNA expression	#156:845	pmid:24782321	NA	iprkb	cb5f856d-0a7b-4a5c-aa19-6d5a16b61733	#29:0	pending
increased	IFNG	favourable prognosis	patient	urinary bladder cancer	increased protein expression	#156:849	pmid:22419253	NA	iprkb	177d88e8-110a-4c15-9639-9fef142e33f7	#29:0	pending
increased	AURKA	resistance	paclitaxel [DB01229]	NA	increased RNA expression	#156:859	pmid:12559175	NA	iprkb	17a9300a-cfd8-422f-adab-f38f13d82f61	#29:0	pending
increased	CCND3	resistance	palbociclib [DB09073]	breast cancer	increased RNA expression	#156:907	pmid:28270497	NA	iprkb	f333958d-657d-45a3-a3ef-2327b15add48	#29:0	pending
increased	IGF1R	sensitivity	mitotane + nvp aew54 [DB00648 + NVP AEW54]	adrenocortical carcinoma	increased RNA expression	#156:3103	pmid:18854392	NA	iprkb	3025e817-5360-4425-b18e-21ae3b1cb9e0	#29:0	pending
increased	CES2	sensitivity	irinotecan [DB00762]	pancreatic adenocarcinoma	increased RNA expression	#156:3143	pmid:26025324	NA	iprkb	b8f32bd2-3f97-44ae-953c-7e0e3cecdb69	#29:0	pending
increased	KLK6	prognostic indicator	patient	ovary epithelial cancer	increased RNA expression	#156:3165	pmid:19707197	NA	iprkb	b7dc2bfc-c7b5-4c4c-804f-96d811df4395	#29:0	pending
